company,rating,location,revdate,recommends,outlook,ceo_opinion,wlbalance,career_ops
Airbnb,5.0,"Portland, OR",,y,positive,approves,4.0,5.0
Airbnb,5.0,"San Francisco, CA",10-14-2020,y,positive,approves,5.0,5.0
Airbnb,4.0,"San Francisco, CA",10-20-2020,y,positive,approves,4.0,4.0
Airbnb,5.0,"San Francisco, CA",10-06-2020,y,neutral,approves,5.0,5.0
Airbnb,5.0,"Hurricane, UT",10-03-2020,y,positive,approves,5.0,5.0
Airbnb,5.0,"San Francisco, CA",10-01-2020,y,positive,approves,5.0,5.0
Airbnb,3.0,"New York, NY",10-09-2020,n,positive,disapproves,4.0,2.0
Airbnb,2.0,"San Francisco, CA",10-01-2020,n,negative,disapproves,1.0,2.0
Airbnb,5.0,"San Francisco, CA",09-10-2020,y,neutral,approves,5.0,5.0
Airbnb,4.0,"San Francisco, CA",09-29-2020,,,,,
Airbnb,5.0,"Portland, OR",09-10-2020,y,positive,no opinion,5.0,4.0
Airbnb,5.0,"Lahaina, HI",09-03-2020,y,positive,approves,5.0,5.0
Airbnb,5.0,"San Francisco, CA",09-04-2020,y,positive,approves,5.0,5.0
Airbnb,4.0,"San Francisco, CA",09-15-2020,y,positive,approves,5.0,5.0
Airbnb,5.0,"San Francisco, CA",08-24-2020,y,neutral,approves,5.0,5.0
Airbnb,4.0,"Portland, OR",08-21-2020,n,negative,disapproves,5.0,5.0
Airbnb,3.0,"San Francisco, CA",08-31-2020,y,neutral,approves,3.0,4.0
Airbnb,5.0,"San Francisco, CA",08-20-2020,y,positive,approves,,
Airbnb,4.0,"San Francisco, CA",09-02-2020,y,positive,approves,3.0,4.0
Airbnb,5.0,"Muskegon, MI",08-13-2020,,,,5.0,5.0
Airbnb,4.0,"San Francisco, CA",08-24-2020,y,positive,approves,3.0,4.0
Airbnb,3.0,"San Francisco, CA",08-19-2020,y,positive,no opinion,3.0,4.0
Airbnb,1.0,"San Francisco, CA",09-12-2020,n,positive,disapproves,3.0,3.0
Airbnb,4.0,"San Francisco, CA",08-13-2020,y,neutral,approves,4.0,4.0
